[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
a	seismograph	is a kind of		tool	for	measuring the size of an earthquake						0ad1-f529-32a2-a01d
a	sense	is a kind of		ability								d643-d0c5-6eb7-cf62
	sense	is a kind of		characteristic				of an animal				f6fb-5aa7-3464-c565
	setting	is a kind of		motion								0da9-2984-f126-bcad
	shaking	is a kind of		motion								be5f-56dc-4b83-3d4a
	shale	is a kind of		sedimentary rock								77dc-05da-a205-2af9
	shape	is a kind of		characteristic								409a-a89f-e238-2bac
	shape	is a kind of		property							Moved to Properties-Generic	b6c4-b023-d265-5810
	shape	is a kind of	physical	property								095a-404f-6149-222c
a	shark	is a kind of		fish								737d-9e1b-683f-862c
a	sheet of sandpaper	is a kind of		object								7ab6-d0b1-eac4-a2a9
a	shell	is a kind of		fossil								b1d2-660c-6f63-cfd8
	shelter	is a kind of	protective	covering								07ae-5b5d-6e83-d86a
	shelter	is a kind of		place;building;structure	for	protection						e98a-5e1d-e825-0c47
a	shirt	is a kind of		article of clothing								9eef-20c5-1709-cdf3
	shivering	is a kind of		shaking								ef35-06f3-5e2e-e454
a	shout	is a kind of		sound								8cef-917a-e2d3-335e
the	sidewalk	is a kind of		object								ce7e-f24a-8088-35e6
a	sifter	is a kind of		tool	for	separating mixtures						bb8f-9e8f-0b8b-d4c1
	sight	is a kind of		sense								39ca-a831-8d1a-babd
	silver	is a kind of		metal								5179-3c12-fa5f-2f13
a	simple machine	is a kind of		tool								7cee-45d4-aa3a-ca19
a	single-celled organism	is a kind of		living thing								429b-b860-9460-60c7
	sinking	is a kind of	downward	direction								dc32-dc44-96ac-eb1b
	size	is a kind of		property							Moved to Properties-Generic	0ae8-a7a7-bfa3-b412
the	skeletal system	is a kind of	body	system								3e34-7133-f645-504b
	skidding	is a kind of		motion								ff12-30f0-2d0c-0da9
	skill	is a kind of	learned	characteristic							Moved to Prop-InheritedLearned	63ec-5f87-c5f3-ba23
	skin	is a kind of		material								de67-5c47-a55a-04a0
	skin	is a kind of		organ								9c97-5684-21f1-8494
a	skunk	is a kind of		animal								0a95-0ed2-b881-a7ef
	slate	is a kind of		metamorphic rock								0fc7-bb62-bc30-e3fd
a	sleeping bag	is a kind of		product								61cc-33fa-5056-7255
	sleet	is a kind of		ice								77f1-c14f-39cf-b4fd
	sleet	is a kind of		precipitation								f704-bbf0-c1f5-b8ba
a	slide	is a kind of		object								1901-4f2b-21f5-11b7
	sliding	is a kind of		motion								064c-b643-8110-0d09
	sliding	is a kind of		movement								a923-adcf-f552-5902
	slipping	is a kind of		motion								c3ed-2a60-a3c3-a504
	smell	is a kind of		sense								9ead-baf3-0465-3c2a
	smooth	is a kind of		texture								be7f-0242-d76f-3be0
a	snail	is a kind of		animal								7c65-e5ab-1f92-0c39
a	snake	is a kind of		animal								6188-73e6-6db4-bfea
	snow	is a kind of		ice								c2a0-5b9e-4796-94a2
	snow	is a kind of		precipitation								8083-d6d0-9cba-da83
a	snowshoe hare	is a kind of		animal								c82d-ab6a-a378-5db3
	snowstorm	is a kind of		weather								bde3-2540-817a-ddf2
	soda	is a kind of		beverage								af1a-348d-eec7-2eb8
	soft	is a kind of		hardness								0654-00a0-45fb-b306
	soft	is a kind of		touch sensation								e4a3-6678-a530-3b3e
a	softball	is a kind of		ball								1325-3c4b-a5a6-1db8
a	softball bat	is a kind of		lever								dae9-e208-58cd-a9d8
	soil	is a kind of		material								45bb-9ef6-d3bd-e645
	soil	is a kind of		nonliving thing								ea61-1f68-79b7-f09f
	soil	is a kind of		renewable resource							Moved to PROP-RESOURCES-RENEWABLE	54c4-aa6c-13ff-945d
	soil erosion	is a kind of	slow; natural	process								11c8-fdbb-e0de-c7b7
	solar energy	is a kind of		energy								4849-d977-c75a-e8fb
	solar energy	is a kind of	heat	energy								89b7-8583-941a-df9d
	solar energy	is a kind of		light								4399-9824-93cb-c8e7
	solar energy	is a kind of		renewable resource							Moved to PROP-RESOURCES-RENEWABLE	e8e9-20d2-8931-d1f8
	solar energy	is a kind of	inexhaustible	resource							Moved to PROP-RESOURCES-RENEWABLE	6bc4-b893-7cc3-c233
	solid	is a kind of		state of matter								cf49-1b7a-89f0-41f5
	something that happens	is a kind of		event								b8b1-9da5-1b1d-a2f7
	sound	is a kind of		energy								1980-256d-b685-846c
	sound	is a kind of		sound energy								7726-d9fd-f431-db04
	sound	is a kind of	air	vibration								c73c-b25a-5409-a480
	soup	is a kind of		food								330c-b2e7-f883-13e6
	soup	is a kind of		liquid								3005-d180-4d74-cdb2
	south	is a kind of		direction								34c2-c483-57d1-543e
the	Southern Hemisphere	is a kind of		hemisphere				of Earth				5082-d519-1343-5653
	space	is a kind of		resource								1238-9a25-7978-c11f
	speaking	is a kind of		communication								de85-5c79-0f87-2066
	speckled	is a kind of	color	pattern								5c77-2dc4-7ebe-7cbe
	spices	are a kind of		material								cf70-3fdf-c124-a754
a	spider	is a kind of		animal								975a-1b34-37f3-7723
a	spine	is a kind of		object								4760-f7f8-5130-db3c
a	spoon	is a kind of		object								fb45-a64a-13f3-241c
	spotted	is a kind of	color	pattern								ca03-f52b-b637-957b
	spring	is a kind of		season								af84-b2e1-3d77-58f9
a	squirrel	is a kind of		animal								b5dc-c66c-4d4e-031d
a	star	is a kind of		celestial object; celestial body								dbe8-e776-f804-99a0
	starch	is a kind of 	complex	carbohydrate								e469-a11a-36a0-3e09
a	starling	is a kind of		bird								bef3-e1f3-4609-53c2
a	state	is a kind of		place								034e-5eb5-eaf7-aab7
	state of matter	is a kind of		property								7532-01eb-475e-acbd
	state of matter at room temperature	is a kind of	physical	property								a648-4d74-dae9-2ef2
a	statue	is a kind of		object								e5d5-338d-263a-84af
	steam	is a kind of		gas								f2a5-90e6-9cfa-b646
	steam;water vapor	is a kind of		water					above 100 degrees celsius			74d3-98e4-9bf5-7aa1
	steel	is a kind of		metal								d49f-dde6-0083-0a5b
	sterling silver	is a kind of		alloy								3379-66dc-280f-20e5
	sterling silver	is a kind of		metal								1f26-9d60-19b5-05d1
a	stick	is a kind of		object								0c4f-43da-c106-3620
a	sticky tongue	is a kind of		adaptation	for	catching insects						ed29-4e9b-989d-bae0
a	stopwatch	is a kind of		tool	for	measuring time						ba0a-4b3e-ff60-ec49
	storing water	is a kind of		adaptation								c412-a85a-5de1-771a
	storm	is a kind of		weather; weather event								182e-8760-e878-1751
a	stout beardfish	is a kind of		fish								2223-80a8-8d8c-0183
a	stove	is a kind of		machine								0963-6254-d160-4097
a	stove	is a kind of		machine							Dup. All uses replaced. 	2ce7-2ffc-30dc-2c08
a	stream	is a kind of		body of water								c71c-f0da-3930-67f0
	strength	is a kind of		property								cd45-3b6d-c0bd-d377
a	string	is a kind of		object								e348-689b-5fde-b228
a	strip	is a kind of		object								3cb8-96f0-34fb-8417
	striped	is a kind of	color	pattern								3483-7c99-093c-e25c
	strong beaks; sharp beaks	are a kind of		adaptation	for	catching prey						65e2-7649-725c-db72
a	structure	is a kind of		feature								7dea-62b3-c169-a6bf
a	student	is a kind of		human								3ed8-5fde-3b7b-6513
a	submarine	is a kind of		object								6759-1566-8f4d-4da2
	sugar	is a kind of 	simple	carbohydrate								fa62-7076-3a48-59e3
	sugar	is a kind of		food								d96d-6f08-5365-2084
	sugar	is a kind of		solid								d061-b761-db46-512d
	sugar	is a kind of		substance								826e-4bd3-1390-0182
	sulfur	is a kind of		mineral								8de7-2eab-c43a-5f70
	summer	is a kind of		season								3f3f-f2cb-ae3d-f238
the	Sun	is a kind of		star								af26-8083-b908-7d3b
the	Sun	is a kind of		star							Dup. All uses replaced. 	7471-bdd9-0d81-87f4
the	Sun	is a kind of		star							Dup. All uses replaced. 	734b-8a38-a99b-5341
the	sun rising	is a kind of		event								5b3e-36e4-ab92-9468
the	sun setting	is a kind of		event								9ed6-4e8f-abab-588b
a	sunflower	is a kind of		plant								000b-8380-fb97-aee5
	sunlight	is a kind of		light								49dc-4526-46f9-5b32
	sunlight	is a kind of		solar energy								59d6-9954-ef5e-12b2
	sunny	is a kind of		weather								16da-5361-a2eb-9264
a	swamp	is a kind of		environment								8aaf-28c3-9099-96b9
	sweet	is a kind of		flavor								5c00-b065-93b2-b8b3
	swimming	is a kind of		skill								03de-d7d0-b5a6-e027
	syrup	is a kind of		liquid								7ab9-c401-de04-a804
a	table	is a kind of		furniture								8706-febe-af37-4bc4
a	table	is a kind of		object								268d-a671-9d83-031a
a	tadpole	is a kind of	young; baby	frog								3596-66e7-97d6-0e9a
a	tag	is a kind of		tool	for	monitoring an object's location						ce71-9833-2959-cb9d
	talc	is a kind of		mineral								7427-b4fb-4ccb-66bb
a	tape measure	is a kind of		tool	for	measuring distance; measuring length						89ff-54de-77cf-9d13
	taste	is a kind of		property								64a0-5e98-eead-e1aa
	taste	is a kind of		sense								89d7-ec28-323f-ad68
	taste	is a kind of		sense							Dup. All uses replaced. 	5dfe-9045-4afd-d365
	tea	is a kind of		beverage								b906-1552-b7cb-0be1
	tearing	is a kind of		damage								03cf-92e2-59ae-3b3a
a	tectonic plate	is a kind of		object								73a5-fd93-9595-79df
a	telephone	is a kind of		electrical device	for	communication						a2e1-8d32-c994-cd9c
a	telephone	is a kind of		technology								cdfd-1234-1b8c-b945
a	telephone	is a kind of		tool								3b84-2ea8-db99-4f3b
a	telescope	is a kind of		instrument	for	observing celestial objects; observing the sky						55a5-70f3-961c-a142
an	television set	is a kind of	electrical	device								89ae-f520-fdbf-4c54
	temperature	is a kind of		heat energy							Moved Measurements	366a-ea76-9772-cd03
a	termite	is a kind of		insect								ed80-15ae-c493-8ca6
	texture	is a kind of		property							Moved to Properties-Generic	a8c3-0d59-ce83-f4c9
	the shapes of the parts of something	are a kind of		property of that something							Moved to Properties-Generic	4933-8cde-0c54-1767
	thermal gloves	are a kind of	safety	gear								6f96-bf9c-7fa5-2340
a	thermometer	is a kind of		instrument	for	measuring temperature						1296-2edb-a443-10d1
a	thorn	is a kind of		object								ae87-8deb-5a31-1c69
	thunder	is a kind of		sound								b7ba-f45b-5ed8-9205
a	thunderstorm	is a kind of		storm								ed1d-c1cf-76c9-eed3
	tidal energy	is a kind of	alternative	energy resource								ce51-5349-0ca9-75bc
a	tide	is a kind of	natural	event								7c75-71b3-613b-1ebe
a	tiger	is a kind of		animal								e13e-7a37-14b2-8e23
a	tire	is a kind of		object								02c9-a481-d0f4-91e2
	to be a vehicle for	is a kind of		function								8a7c-8cdf-1a2d-225e
	to wash away	is a kind of		movement			by moving water					c41d-ddb3-ef96-b433
a	toaster	is a kind of	electrical	device								50a8-996b-b8bf-e107
	toasting	is a kind of		cooking								4fbb-49e2-aba5-690d
a	tool	is a kind of		object								75de-7e0e-d204-6ec0
a	tooth	is a kind of		bone								dd90-d920-81f6-416c
	tornado	is a kind of		weather								a1aa-f4ab-8332-157d
	touch	is a kind of		sense								e0fe-14d9-9d28-87bb
	toward	is a kind of		direction								3599-03b4-9c23-4b8f
	transfer	is a kind of		process								7b18-e422-e212-d376
	transpiration	is a kind of		process								9974-bcb8-7899-2ae4
	transporting	is a kind of		function								6de6-2fbd-0113-0492
	transporting materials through a plant	is a kind of		function								ec54-dc25-4e1a-18c7
	transporting nutrients, water, and minerals	is a kind of		function								46cd-dec2-14f6-b382
a	tree	is a kind of		living thing								7e6a-bb5a-c31e-85f2
a	tree	is a kind of		matter								0340-14ae-a023-ac50
a	tree	is a kind of		plant								0d3a-8739-9f42-5e1c
a	tree frog	is a kind of		animal								1c1c-9c8d-bd03-dfea
	trees	are a kind of		renewable resource							Moved to PROP-RESOURCES-RENEWABLE	8803-e262-cbe2-c8e1
	trees	are a kind of		resource								e818-cf4a-2d3a-c8c6
a	trilobite	is a kind of	water	animal								2ac7-87be-4297-8014
	trout	is a kind of		fish								ac16-c85f-55f1-0725
a	tube	is a kind of		hollow object								90e6-7cf1-f97e-8519
	tuna	is a kind of		fish								402e-1817-1d04-e00f
the	tundra	is a kind of		environment								51f0-0d35-bbcf-e84c
	tungsten	is a kind of		metal								d85c-6167-112d-92ae
a	tunnel	is a kind of		hole								0456-0148-2518-a48e
	turning on	is a kind of		process								d3a2-7e30-c0fc-2ec5
a	turtle	is a kind of		animal								964f-3c67-13dd-a443
a	turtle	is a kind of		reptile								63f8-0c28-2691-5e74
	tying back long hair	is a kind of	safe	practice				in a laboratory				f873-b72a-39bf-0deb
a	type of something	is a kind of		property				of that something				3bc7-74c9-307f-6f56
a	unit for measuring time	is a kind of		time interval								70e8-113c-aa13-7a72
the	United States	is a kind of		country								0a04-e1b0-44ed-652d
the	United States of America	is a kind of		location								664b-4f0e-914c-f410
a	user	is a kind of		person								d038-d316-c727-61e8
	UV light	is a kind of		light								d9ca-e581-1fad-e095
	valley quail	are a kind of		quail								82fa-e7a4-1da6-7ae5
	variability of shape; variability of volume	is a kind of		property								f926-954b-1f50-2b3b
a	vegetable	is a kind of		plant								6755-3424-c45b-3c9c
a	vehicle	is a kind of		object								d047-715f-550d-3eaa
a	vehicle	is a kind of		tool	for	travel; transport						2b96-b294-3abb-3f9b
	vibration	is a kind of		motion								84cd-6cd8-331b-f869
a	vine	is a kind of		stem								98fe-58e0-bbf4-c401
	vinegar	is a kind of		liquid								1ba7-86f9-9cab-21f4
a	volcanic eruption	is a kind of		change								b5e9-24c9-bf9a-095f
a	volcanic eruption	is a kind of	quick	process								ba5a-219b-b187-3b98
a	wagon	is a kind of		vehicle								1022-5edd-48da-fd5a
	walking	is a kind of		behavior								2323-a1bc-b57d-4a0c
	walking	is a kind of		motion								8848-4ca5-92b5-6607
a	wall	is a kind of		object								711b-f9b6-6a97-e3c5
a	wall	is a kind of		surface								3fe8-0138-a901-b730
a	walrus	is a kind of	sea	mammal								4df6-1a70-4364-cd87
a	waning crescent	is a kind of		phase of the moon								ad73-5c93-32aa-6f1f
a	waning gibbous	is a kind of		phase of the moon								c5a9-9966-e1ba-9643
a	wasp	is a kind of		insect								5a35-133a-dcf9-2e06
	water	is a kind of		liquid								3961-d09c-4b9a-a6f7
	water	is a kind of		matter								fece-0edb-14bf-0a34
	water	is a kind of		medium	for	light						1505-53ee-1d64-b11d
	water	is a kind of		natural resource								1c04-5228-7c5d-ab8a
	water	is a kind of		object								533c-79f7-8267-e271
	water	is a kind of		substance								81b7-0a58-5b0b-0bbf
	water	is a kind of	nonliving	thing								2e1a-7f43-2f56-54a8
a	water lily	is a kind of	green	plant								1869-0d26-040c-9a3d
a	water tower	is a kind of		habitat	for birds							892b-d4f7-9599-791b
	waving	is a kind of		motion								78ff-b0b7-b1c5-5536
	wax	is a kind of		electrical insulator							Moved to Prop-Conductivity	a0ab-5919-c5e1-2df1
a	waxing crescent	is a kind of		phase of the moon								9dd7-2ee2-44ed-2a08
a	waxing gibbous	is a kind of		phase of the moon								59a8-0777-9606-d6a2
	wearing safety goggles	is a kind of	safe	practice				in a laboratory				ab25-5770-3344-605e
	weathering	is a kind of		erosion								1272-6781-b4fb-96ab
	weathering	is a kind of		process								b9ee-1aa0-8736-13c8
	weed	is a kind of		plant								9ebc-df4f-9e45-4e81
	weight	is a kind of		property								5720-208c-fea0-628e
a	Western coral snake	is a kind of		snake								2b58-eef0-ced3-1aa1
the	Western Hemisphere	is a kind of		hemisphere				of Earth				f3ad-4a87-c0a1-f77e
a	wetland	is a kind of		ecosystem								426c-6ee0-9023-3cca
a	wetland	is a kind of		habitat								a841-6cf9-a034-f5a7
a	whale shark	is a kind of		shark								f8c1-7c98-7ff9-89ad
a	wheel and axle	is a kind of	simple	machine								a6c8-8725-3c2d-60a7
	white	is a kind of		color								12c9-e2b2-25cd-65c6
a	wildfire	is a kind of	natural	disaster								b20b-f9ca-a6c1-68e6
	wind	is a kind of		renewable resource							Moved to PROP-RESOURCES-RENEWABLE	c787-56c3-ff8c-1b86
a	window	is a kind of		object								7747-2a9d-897d-f11c
a	windshield wiper	is a kind of		tool	for	increasing visibility		while driving in bad weather				e6c0-2039-84cd-c6dd
	winter	is a kind of		season								633c-3fd4-7320-00cf
	wiping up spills immediately	is a kind of	safe	practice				in a laboratory				4197-9c0b-9863-629e
a	wire	is a kind of		object 								d576-0ead-0543-9136
a	wire	is a kind of		path	for	electricity						07e7-551b-7ffc-6aa5
a	wolf	is a kind of		animal								9727-5f85-da9b-f759
	wood	is a kind of		electrical insulator							Moved to Prop-Conductivity	1cf8-b38e-f9e9-8f03
	wood	is a kind of	natural	material								2b35-1f1c-4f5d-e8e9
	wood	is a kind of		object								7969-9020-bfa6-c54c
	wood	is a kind of		renewable resource							Moved to PROP-RESOURCES-RENEWABLE	487e-9180-917f-c1b5
a	woodpecker	is a kind of		bird								58d8-a151-b408-ed86
	words; letters	are a kind of		object							Low quality? No uses.	ff50-3550-30a2-d8fa
	work	is a kind of		place								2024-1639-fb8a-1568
a	worm	is a kind of		animal								9d7a-3ad1-561c-deae
a	worm	is a kind of		living thing								1c66-2f7c-2b52-0b37
	years	are a kind of		unit	for	measuring time						406d-464a-cfa5-7b67
a	yeast cell	is a kind of	single cell	organism								7d5f-5e63-dd7d-4096
	yellow	is a kind of		color								8248-ae54-9660-d22c
	zinc	is a kind of		metal								e29c-2800-f9a7-6195
	zinc	is a kind of		mineral								77ce-37b8-e09b-f59f
a	plain	is a kind of		landform								089e-dcd5-b124-189c
a	sheet of paper	is a kind of		object								5029-9d16-9c77-acf3
a	bar	is a kind of		object								e9d2-21ea-0bdc-f4ca
	pasteurization	is a kind of		process								932b-ef93-f3dd-c1f7
